Date,Open,High,Low,Close,Adj Close,Volume
2009-10-31,null,null,null,null,null,null
2009-11-30,11050.000000,11950.000000,10600.000000,11050.000000,9067.023438,5101046
2009-12-31,11050.000000,11750.000000,10950.000000,11300.000000,9272.160156,3731060
2010-01-31,11450.000000,11700.000000,10550.000000,11500.000000,9436.269531,13598012
2010-02-28,11500.000000,13200.000000,11300.000000,12150.000000,9969.624023,33152500
2010-03-31,12150.000000,14000.000000,12000.000000,13850.000000,11364.549805,24043000
2010-04-30,14450.000000,23097.000000,13600.000000,15600.000000,12800.503906,36891000
2010-05-31,15000.000000,18900.000000,15000.000000,17000.000000,13949.266602,39359000
2010-06-30,17000.000000,17350.000000,16300.000000,16950.000000,14142.509766,42458004
2010-07-31,16750.000000,17150.000000,15950.000000,16100.000000,13433.300781,35655500
2010-08-31,16250.000000,17250.000000,15950.000000,16850.000000,14059.074219,42105000
2010-09-30,17100.000000,19200.000000,16850.000000,17450.000000,14559.695313,34303500
2010-10-31,16900.000000,17500.000000,15000.000000,15000.000000,12515.496094,61231000
2010-11-30,15700.000000,17000.000000,15000.000000,16500.000000,13850.736328,39889500
2010-12-31,16050.000000,16650.000000,13800.000000,15050.000000,12633.551758,43973000
2011-01-31,15100.000000,16200.000000,14100.000000,16200.000000,13598.905273,23942000
2011-02-28,16250.000000,16950.000000,7950.000000,15300.000000,12843.411133,50311000
2011-03-31,15450.000000,15650.000000,14900.000000,15300.000000,12843.411133,53748000
2011-04-30,15300.000000,15300.000000,14650.000000,14700.000000,12339.747070,40148000
2011-05-31,14800.000000,15350.000000,14600.000000,14900.000000,12507.634766,25901000
2011-06-30,14950.000000,15900.000000,14700.000000,15600.000000,13399.493164,36229500
2011-07-31,15900.000000,17400.000000,15000.000000,16900.000000,14516.118164,59256000
2011-08-31,16750.000000,17750.000000,14000.000000,16500.000000,14172.541992,40287500
2011-09-30,16100.000000,16500.000000,15250.000000,15650.000000,13442.442383,41248500
2011-10-31,15650.000000,18400.000000,15450.000000,18200.000000,15632.743164,37878000
2011-11-30,18200.000000,19000.000000,17100.000000,18800.000000,16148.108398,30345500
2011-12-31,18550.000000,21300.000000,18200.000000,19600.000000,17072.376953,32139006
2012-01-31,19800.000000,20050.000000,17500.000000,19250.000000,16767.513672,27183500
2012-02-29,18650.000000,20200.000000,18600.000000,20000.000000,17420.794922,22720502
2012-03-31,20150.000000,20300.000000,18750.000000,19850.000000,17290.136719,27633000
2012-04-30,20150.000000,22450.000000,19700.000000,20550.000000,17899.867188,38524503
2012-05-31,20550.000000,25500.000000,20000.000000,22900.000000,19946.808594,33450500
2012-06-30,23600.000000,25250.000000,22350.000000,24250.000000,21395.687500,31701000
2012-07-31,24100.000000,27350.000000,23800.000000,27100.000000,23910.238281,23226500
2012-08-31,28100.000000,28500.000000,25100.000000,26050.000000,22983.826172,38330000
2012-09-30,25750.000000,26300.000000,25250.000000,26050.000000,22983.826172,37437000
